CODGEO;LIBGEO;SEXE1_AGEPYR1000;SEXE1_AGEPYR1003;SEXE1_AGEPYR1006;SEXE1_AGEPYR1011;SEXE1_AGEPYR1018;SEXE1_AGEPYR1025;SEXE1_AGEPYR1040;SEXE1_AGEPYR1055;SEXE1_AGEPYR1065;SEXE1_AGEPYR1080;SEXE2_AGEPYR1000;SEXE2_AGEPYR1003;SEXE2_AGEPYR1006;SEXE2_AGEPYR1011;SEXE2_AGEPYR1018;SEXE2_AGEPYR1025;SEXE2_AGEPYR1040;SEXE2_AGEPYR1055;SEXE2_AGEPYR1065;SEXE2_AGEPYR1080;population;LIBGEO2
01001;L'Abergement-Clémenciat;15;11;24;52;22;51;97;47;59;14;14;7;33;38;14;55;96;48;52;18;767;l'abergement clemenciat
01002;L'Abergement-de-Varey;3;4;10;11;3;24;30;11;21;6;11;6;4;13;5;30;20;14;12;5;243;l'abergement de varey
01004;Ambérieu-en-Bugey;297;278;496;637;595;1491;1315;779;639;285;350;269;433;608;610;1496;1255;849;931;467;14080;amberieu en bugey
01005;Ambérieux-en-Dombes;33;36;60;74;70;133;199;111;101;26;26;40;61;74;56;155;187;102;96;34;1674;amberieux en dombes
01006;Ambléon;1;1;2;7;6;9;15;9;9;3;2;0;1;1;1;6;13;10;9;5;110;ambleon
01007;Ambronay;58;69;104;100;70;268;294;164;144;42;64;62;106;135;68;284;276;165;144;66;2683;ambronay
01008;Ambutrix;10;13;24;34;28;82;86;52;41;9;11;15;24;35;24;83;82;46;41;11;751;ambutrix
01009;Andert-et-Condon;2;3;15;18;10;20;37;21;35;10;3;5;6;16;8;23;36;21;32;15;336;andert et condon
01010;Anglefort;22;23;53;49;25;119;115;70;61;13;20;27;52;61;22;120;114;51;74;30;1121;anglefort
01011;Apremont;8;7;19;16;6;29;49;26;32;2;7;8;16;22;5;35;42;20;30;3;382;apremont
01012;Aranc;6;8;15;17;6;23;28;23;27;14;3;5;5;17;5;27;26;27;30;14;326;aranc
01013;Arandas;5;3;4;7;2;7;23;11;14;2;2;3;5;4;5;8;19;9;11;2;146;arandas
01014;Arbent;41;47;132;176;106;278;368;206;245;57;47;59;127;158;93;270;358;233;271;106;3378;arbent
01015;Arboys en Bugey;8;10;22;28;18;47;63;43;66;13;8;6;14;29;21;54;65;44;58;24;641;arboys en bugey
01016;Arbigny;6;13;18;27;12;41;47;26;36;8;11;9;21;24;10;45;44;21;28;14;461;arbigny
01017;Argis;9;8;12;17;6;38;41;35;35;14;7;16;18;18;9;39;43;27;33;13;438;argis
01019;Armix;1;0;0;3;0;1;1;6;2;0;1;0;0;0;0;1;2;2;3;1;24;armix
01021;Ars-sur-Formans;16;34;43;72;60;121;160;79;70;18;19;29;46;76;40;120;162;89;105;27;1386;ars sur formans
01022;Artemare;14;20;39;69;36;90;129;90;87;30;15;19;33;45;29;84;137;92;109;60;1227;artemare
01023;Asnières-sur-Saône;2;0;0;7;2;5;9;5;5;3;0;1;2;1;1;6;10;4;2;0;65;asnieres sur saone
01024;Attignat;50;71;136;177;110;302;350;173;202;50;54;69;128;174;93;310;367;177;201;75;3269;attignat
01025;Bâgé-Dommartin;71;92;184;240;111;355;483;248;225;65;79;83;153;221;104;388;461;262;178;86;4089;bage dommartin
01026;Bâgé-le-Châtel;19;8;22;27;43;80;77;49;67;35;12;17;31;30;53;71;86;47;76;64;914;bage le chatel
01027;Balan;45;49;88;100;520;515;204;106;94;13;52;47;66;80;211;269;180;97;103;17;2856;balan
01028;Baneins;16;17;19;21;14;53;62;47;34;10;10;10;27;25;22;65;58;51;28;8;597;baneins
01029;Beaupont;10;14;19;28;16;64;80;55;36;24;6;12;35;28;11;65;78;48;42;18;689;beaupont
01030;Beauregard;19;16;31;41;27;88;97;54;31;15;22;22;31;56;26;99;98;56;45;12;886;beauregard
01031;Bellignat;64;63;129;169;149;362;356;191;221;53;67;71;135;162;152;345;338;254;244;94;3619;bellignat
01032;Béligneux;96;83;161;171;89;354;306;159;140;45;79;99;143;167;104;396;290;170;168;95;3315;beligneux
01033;Valserhône;353;315;623;730;627;1671;1771;821;864;267;326;360;561;590;550;1725;1611;995;961;582;16303;valserhone
01034;Belley;159;175;298;410;319;770;830;521;560;258;153;173;318;359;328;750;907;611;677;557;9133;belley
01035;Belleydoux;7;2;11;10;5;31;37;32;15;11;4;5;7;16;7;27;42;27;15;6;317;belleydoux
01036;Valromey-sur-Séran;20;21;54;65;24;93;127;99;121;37;16;18;40;49;16;100;139;99;119;43;1300;valromey sur seran
01037;Bénonces;6;7;15;7;11;31;41;16;32;12;6;6;5;12;7;21;23;15;16;5;294;benonces
01038;Bény;9;17;22;47;23;56;86;51;53;13;10;15;34;32;23;59;80;59;49;24;762;beny
01039;Béon;6;14;8;19;17;37;52;38;31;9;14;6;8;26;14;36;42;42;32;13;464;beon
01040;Béréziat;13;9;24;26;15;49;62;30;19;9;8;12;23;21;14;47;57;20;28;6;492;bereziat
01041;Bettant;14;14;27;24;26;71;85;44;47;10;7;19;24;33;18;66;88;59;45;26;747;bettant
01042;Bey;3;10;13;15;7;22;34;23;19;6;5;2;4;18;0;22;32;21;15;5;276;bey
01043;Beynost;68;98;143;270;165;323;524;281;277;89;63;84;151;231;167;353;550;280;317;122;4556;beynost
01044;Billiat;8;16;18;32;25;62;69;28;32;15;8;9;29;40;20;66;59;29;35;13;613;billiat
01045;Birieux;7;7;15;19;4;32;33;11;15;2;3;6;10;17;3;31;33;12;14;7;281;birieux
01046;Biziat;13;27;32;38;27;73;93;61;42;17;13;22;42;44;22;89;90;54;38;21;858;biziat
01047;Blyes;24;14;44;72;35;82;142;48;39;10;15;20;35;61;29;88;134;43;42;18;995;blyes
01049;La Boisse;57;72;126;161;113;255;343;177;182;49;40;51;96;158;107;256;340;183;188;69;3023;la boisse
01050;Boissey;7;12;9;12;6;36;38;16;16;11;8;13;17;13;11;43;34;13;12;8;335;boissey
01051;Bolozon;4;1;2;0;1;8;8;8;12;3;2;1;1;1;0;8;9;8;8;4;89;bolozon
01052;Bouligneux;3;5;7;12;15;20;37;19;29;9;7;3;10;15;12;21;37;21;29;9;320;bouligneux
01053;Bourg-en-Bresse;769;766;1062;1720;2347;3878;3512;2151;2313;1021;798;607;1072;1578;2222;3817;3662;2555;3227;2289;41366;bourg en bresse
01054;Bourg-Saint-Christophe;27;30;59;76;30;124;163;78;60;15;22;27;56;79;24;138;163;69;61;22;1323;bourg saint christophe
01056;Boyeux-Saint-Jérôme;10;12;13;16;6;34;40;15;34;8;6;10;9;10;5;37;33;19;27;8;352;boyeux saint jerome
01057;Boz;10;22;26;30;9;48;65;28;25;9;5;12;12;33;12;50;59;21;28;12;516;boz
01058;Brégnier-Cordon;15;21;47;54;23;67;91;52;54;13;10;16;29;52;17;69;81;55;63;20;849;bregnier cordon
01060;Brénod;7;4;14;24;17;39;52;34;40;15;6;10;21;21;12;41;52;35;43;34;521;brenod
01061;Brens;18;28;46;65;31;95;139;92;71;8;21;27;50;54;30;102;129;83;66;15;1170;brens
01062;Bressolles;14;25;37;52;28;89;94;53;52;16;16;17;29;40;22;94;90;55;57;11;891;bressolles
01063;Brion;7;5;8;21;13;40;51;33;55;9;9;7;31;29;4;45;47;43;47;11;515;brion
01064;Briord;17;25;42;42;39;96;133;59;32;11;14;20;34;50;32;104;115;61;47;19;992;briord
01065;Buellas;32;34;69;85;47;139;207;105;123;24;29;21;66;82;62;144;206;117;134;38;1764;buellas
01066;La Burbanche;1;1;0;3;3;4;11;5;8;1;2;2;1;2;1;6;5;7;6;2;71;la burbanche
01067;Ceignes;4;1;13;15;9;13;37;19;7;5;4;7;8;15;6;21;41;12;7;11;255;ceignes
01068;Cerdon;13;14;31;30;23;72;86;48;34;18;18;12;31;30;27;63;73;46;51;63;783;cerdon
01069;Certines;28;32;48;76;49;126;184;113;84;17;29;27;50;76;49;141;178;113;92;20;1532;certines
01071;Cessy;110;119;206;251;160;544;590;248;153;34;96;127;181;219;152;563;632;216;193;42;4836;cessy
01072;Ceyzériat;54;60;120;166;90;240;315;195;181;76;41;50;104;150;78;270;335;228;247;138;3138;ceyzeriat
01073;Ceyzérieu;18;17;27;39;28;80;96;77;102;24;5;20;25;50;20;75;100;90;91;27;1011;ceyzerieu
01074;Chalamont;41;48;108;125;89;202;269;107;121;68;51;51;79;127;76;216;247;117;137;127;2406;chalamont
01075;Chaleins;27;25;44;79;42;122;160;87;54;14;37;29;41;67;43;110;164;82;52;16;1295;chaleins
01076;Chaley;1;1;3;3;0;8;9;14;18;3;2;0;3;2;5;12;13;15;19;5;136;chaley
01077;Challes-la-Montagne;4;11;5;7;2;18;19;14;13;3;3;4;7;2;3;23;15;19;14;7;193;challes la montagne
01078;Challex;41;29;43;60;39;151;171;71;71;19;38;40;47;54;36;157;156;81;86;60;1450;challex
01079;Champagne-en-Valromey;11;17;30;22;19;53;80;47;71;38;9;13;23;46;16;50;79;44;65;91;824;champagne en valromey
01080;Champdor-Corcelles;8;15;24;32;10;49;72;40;47;18;11;9;29;28;15;54;79;43;57;14;654;champdor corcelles
01081;Champfromier;13;19;30;37;26;64;96;45;44;11;15;9;13;28;27;57;84;55;37;19;729;champfromier
01082;Chanay;13;13;16;55;25;54;54;35;32;6;12;15;22;68;19;54;65;35;30;10;633;chanay
01083;Chaneins;12;19;37;51;28;74;126;52;46;12;21;17;28;52;25;87;99;52;46;14;898;chaneins
01084;Chanoz-Châtenay;22;20;38;39;18;83;101;56;41;10;14;17;37;43;18;79;87;47;40;24;834;chanoz chatenay
01085;La Chapelle-du-Châtelard;8;13;14;23;9;39;41;23;24;7;6;8;16;14;8;38;39;31;18;8;387;la chapelle du chatelard
01087;Charix;4;1;12;19;7;25;35;15;23;6;6;3;10;15;5;21;32;17;23;6;285;charix
01088;Charnoz-sur-Ain;9;18;29;54;37;76;136;71;41;9;19;15;20;43;33;55;138;63;44;12;922;charnoz sur ain
01089;Château-Gaillard;52;44;91;113;58;189;259;108;100;24;48;59;76;86;59;216;248;119;105;26;2080;chateau gaillard
01090;Châtenay;5;9;8;9;14;21;35;34;22;7;6;10;12;14;9;21;38;29;26;6;335;chatenay
01092;Châtillon-la-Palud;21;38;57;90;47;112;183;110;99;18;34;32;51;101;29;129;191;105;96;32;1575;chatillon la palud
01093;Châtillon-sur-Chalaronne;62;68;158;233;180;373;418;286;338;169;60;65;145;198;171;351;465;322;448;374;4884;chatillon sur chalaronne
01094;Chavannes-sur-Reyssouze;11;15;22;36;28;63;79;55;48;21;9;13;33;33;16;57;80;51;53;30;753;chavannes sur reyssouze
01095;Nivigne et Suran;14;15;32;57;22;59;84;57;49;14;14;20;31;44;21;69;87;51;44;21;805;nivigne et suran
01096;Chaveyriat;17;19;40;50;31;89;105;82;55;17;15;32;38;44;31;89;99;81;49;27;1010;chaveyriat
01098;Chazey-Bons;23;22;43;46;31;93;112;71;75;27;20;24;36;47;26;96;106;71;80;30;1079;chazey bons
01099;Chazey-sur-Ain;27;32;43;67;48;143;195;96;68;33;27;23;62;77;43;143;182;91;70;42;1512;chazey sur ain
01100;Cheignieu-la-Balme;1;1;4;2;3;8;18;17;13;1;1;1;4;8;2;8;16;10;11;10;139;cheignieu la balme
01101;Chevillard;2;1;3;8;4;18;20;14;3;6;6;5;2;3;4;14;20;8;7;8;156;chevillard
01102;Chevroux;23;15;47;60;25;94;111;59;47;15;12;21;34;49;17;96;107;58;40;25;955;chevroux
01103;Chevry;34;42;67;76;49;170;222;63;67;10;30;40;64;93;54;188;216;72;66;20;1643;chevry
01104;Chézery-Forens;5;6;20;23;15;47;53;24;31;7;9;14;12;20;17;45;38;31;26;17;460;chezery forens
01105;Civrieux;27;24;52;77;69;146;204;104;85;20;22;27;58;86;66;116;229;94;70;31;1607;civrieux
01106;Cize;5;4;11;9;7;13;13;7;10;7;1;3;9;5;2;16;16;7;16;12;173;cize
01107;Cleyzieu;3;3;4;3;2;9;24;8;16;1;0;4;6;4;4;13;10;8;11;2;135;cleyzieu
01108;Coligny;13;19;27;52;26;90;107;63;109;47;18;16;40;58;16;89;112;72;107;106;1187;coligny
01109;Collonges;52;55;100;112;61;302;269;93;55;14;55;59;102;120;56;293;239;92;69;26;2224;collonges
01110;Colomieu;2;2;6;7;2;12;14;14;8;4;2;0;0;4;1;8;11;14;9;10;130;colomieu
01111;Conand;6;3;7;6;2;14;12;7;5;3;4;1;3;5;2;14;8;6;8;2;118;conand
01112;Condamine;7;9;18;23;8;46;57;28;10;4;10;14;17;22;7;45;48;19;12;10;414;condamine
01113;Condeissiat;22;17;33;38;26;78;87;51;34;23;21;15;29;32;34;81;80;56;45;26;828;condeissiat
01114;Confort;12;18;17;14;11;60;53;33;46;25;13;15;27;25;9;70;46;35;46;43;618;confort
01115;Confrançon;29;40;49;68;43;139;155;73;67;13;24;32;47;69;37;147;150;58;64;27;1331;confrancon
01116;Contrevoz;6;7;26;17;9;42;44;43;39;14;12;12;11;18;6;41;50;35;49;21;502;contrevoz
01117;Conzieu;3;6;8;4;2;14;16;12;5;1;2;5;11;5;3;15;12;11;9;3;147;conzieu
01118;Corbonod;21;21;48;60;23;105;160;85;83;27;17;25;43;52;29;100;136;78;87;58;1258;corbonod
01121;Corlier;3;3;2;4;4;8;16;11;7;4;2;1;3;8;6;9;15;5;5;0;116;corlier
01123;Cormoranche-sur-Saône;21;28;43;52;31;74;148;70;76;29;17;25;40;48;35;88;124;64;73;32;1118;cormoranche sur saone
01124;Cormoz;20;17;18;23;28;51;73;49;57;15;7;9;20;26;13;55;68;38;52;25;664;cormoz
01125;Corveissiat;12;17;22;26;18;56;69;36;45;12;7;15;30;23;25;61;69;39;35;7;624;corveissiat
01127;Courmangoux;7;11;19;22;7;37;61;36;47;12;6;6;20;23;9;34;55;28;49;19;508;courmangoux
01128;Courtes;6;5;11;14;15;22;31;21;23;4;7;5;11;18;7;28;33;20;21;8;310;courtes
01129;Crans;6;7;9;9;6;19;24;24;16;8;8;3;0;12;7;24;20;30;18;13;263;crans
01130;Bresse Vallons;55;59;82;139;67;230;234;150;105;27;49;54;88;121;44;229;230;142;119;37;2261;bresse vallons
01133;Cressin-Rochefort;6;8;11;11;10;32;55;33;23;8;8;4;11;20;7;28;49;34;23;10;391;cressin rochefort
01134;Crottet;26;33;55;102;29;139;204;123;123;29;32;35;47;80;42;166;192;122;123;32;1734;crottet
01135;Crozet;46;50;102;108;66;228;281;112;98;13;41;45;94;86;45;212;265;109;104;24;2129;crozet
01136;Cruzilles-lès-Mépillat;16;11;31;54;24;71;102;66;48;19;15;17;34;46;22;70;93;52;41;24;856;cruzilles les mepillat
01138;Culoz;55;51;108;158;99;250;325;173;193;78;52;68;115;140;100;280;292;191;215;112;3055;culoz
01139;Curciat-Dongalon;9;8;18;16;5;47;43;27;34;20;8;6;14;18;13;29;36;25;43;21;440;curciat dongalon
01140;Curtafond;18;17;33;29;25;65;84;46;55;21;8;15;13;38;23;65;80;41;53;41;770;curtafond
01141;Cuzieu;5;6;19;20;13;27;48;30;33;10;9;6;11;26;11;24;55;30;35;18;436;cuzieu
01142;Dagneux;111;109;179;261;167;430;525;246;222;54;95;93;181;245;185;484;502;275;257;85;4706;dagneux
01143;Divonne-les-Bains;191;237;349;402;208;922;1089;440;437;145;216;197;390;446;191;1045;1156;524;597;282;9464;divonne les bains
01145;Dompierre-sur-Veyle;19;14;44;71;39;86;131;98;78;16;22;20;34;56;27;85;118;103;80;26;1167;dompierre sur veyle
01146;Dompierre-sur-Chalaronne;6;8;25;28;7;36;48;25;16;6;11;9;21;23;10;44;50;28;20;8;429;dompierre sur chalaronne
01147;Domsure;8;4;13;22;16;35;48;32;42;11;10;9;20;22;15;44;53;32;34;16;486;domsure
01148;Dortan;30;25;55;92;53;166;201;155;115;31;29;30;57;84;47;147;213;142;127;47;1846;dortan
01149;Douvres;21;19;38;53;30;71;127;84;64;13;16;15;42;51;27;93;133;88;51;18;1054;douvres
01150;Drom;6;7;10;8;6;26;23;15;6;5;2;4;7;10;5;23;30;9;9;7;218;drom
01151;Druillat;13;19;40;48;35;70;139;84;96;32;23;18;36;64;25;78;116;84;97;41;1158;druillat
01152;Échallon;12;15;26;50;17;62;103;56;53;13;11;8;28;36;15;59;82;48;45;21;760;echallon
01153;Échenevex;56;59;92;142;33;191;274;108;108;18;39;59;117;119;31;223;266;121;97;17;2170;echenevex
01155;Évosges;3;6;2;12;4;13;11;16;5;4;2;1;4;4;0;12;16;11;9;9;144;evosges
01156;Faramans;12;26;34;36;24;73;85;68;36;11;13;18;37;40;23;72;81;55;43;17;804;faramans
01157;Fareins;38;36;80;117;72;158;238;147;168;32;26;45;83;130;54;163;252;143;168;53;2203;fareins
01158;Farges;16;27;53;47;35;95;133;47;50;11;24;26;29;52;33;102;127;44;43;18;1012;farges
01159;Feillens;47;47;86;152;111;286;353;268;207;65;42;53;94;123;106;262;365;230;240;117;3254;feillens
01160;Ferney-Voltaire;213;206;331;389;254;1268;1005;484;403;113;196;210;290;385;326;1259;1061;540;539;166;9638;ferney voltaire
01162;Flaxieu;0;1;7;1;1;5;6;2;6;1;2;0;4;6;2;3;8;1;5;4;65;flaxieu
01163;Foissiat;25;37;72;103;77;172;243;137;116;63;38;39;65;85;55;171;209;137;123;94;2061;foissiat
01165;Francheleins;30;54;83;79;33;153;190;90;68;14;32;42;73;82;39;162;157;99;71;22;1573;francheleins
01166;Frans;47;54;67;115;98;205;268;134;132;34;39;50;81;96;85;210;291;139;142;47;2334;frans
01167;Garnerans;8;6;15;26;20;43;80;61;42;10;5;16;30;30;21;54;59;60;47;18;651;garnerans
01169;Genouilleux;6;10;19;42;18;50;81;35;33;6;13;14;21;34;10;62;70;46;24;7;601;genouilleux
01170;Béard-Géovreissiat;23;22;44;71;42;80;129;81;39;9;19;23;39;67;20;87;147;54;29;13;1038;beard geovreissiat
01171;Géovreisset;14;16;34;53;27;53;122;82;48;12;9;12;21;36;30;62;116;76;51;16;890;geovreisset
01173;Gex;323;289;468;542;378;1877;1342;582;386;120;278;258;380;542;394;1875;1258;658;416;285;12651;gex
01174;Giron;4;1;9;9;5;16;20;10;15;2;4;3;6;10;6;15;23;8;8;5;179;giron
01175;Gorrevod;15;14;38;56;28;63;95;52;44;17;15;23;32;49;20;80;95;52;55;15;858;gorrevod
01177;Grand-Corent;1;7;7;5;0;14;17;22;15;4;3;5;5;8;3;17;17;11;13;3;177;grand corent
01179;Grièges;32;35;77;84;54;135;217;125;142;41;22;27;67;83;43;142;222;132;135;66;1881;grieges
01180;Grilly;14;17;26;44;18;63;102;41;62;15;11;22;31;30;21;71;100;52;50;18;808;grilly
01181;Groissiat;19;21;51;88;38;87;165;77;67;9;25;20;57;63;28;109;148;79;63;10;1224;groissiat
01183;Guéreins;34;38;60;63;32;124;168;91;86;27;22;41;54;70;35;137;138;91;93;31;1435;guereins
01184;Hautecourt-Romanèche;7;14;29;47;16;54;111;48;66;11;13;12;30;48;11;52;95;38;69;13;784;hautecourt romaneche
01185;Plateau d'Hauteville;57;67;124;179;196;334;437;413;405;168;51;64;123;154;200;336;435;341;426;334;4844;plateau d'hauteville
01187;Haut Valromey;19;14;12;42;17;58;83;64;51;22;5;8;20;21;10;56;72;47;53;24;698;haut valromey
01188;Illiat;16;16;22;23;21;50;71;35;34;15;6;15;29;25;13;60;71;36;36;18;612;illiat
01189;Injoux-Génissiat;22;30;42;56;48;123;133;62;54;17;30;22;37;52;40;125;119;67;35;32;1146;injoux genissiat
01190;Innimond;1;0;2;2;0;6;9;12;13;3;1;2;4;4;3;6;9;8;8;4;97;innimond
01191;Izenave;3;4;4;6;8;14;25;8;15;6;1;2;2;6;4;10;17;10;11;4;160;izenave
01192;Izernore;28;53;92;132;83;190;284;119;113;24;38;37;85;118;65;200;302;115;132;47;2257;izernore
01193;Izieu;2;6;3;7;9;13;32;19;24;2;1;3;8;13;4;16;21;32;17;8;240;izieu
01194;Jassans-Riottier;110;122;188;300;251;498;687;402;382;117;108;117;209;313;212;488;726;425;447;289;6391;jassans riottier
01195;Jasseron;28;38;61;99;33;136;194;102;101;42;33;28;76;94;46;137;197;98;108;111;1762;jasseron
01196;Jayat;26;33;47;74;23;114;125;68;63;14;24;29;43;69;26;123;114;57;61;33;1166;jayat
01197;Journans;10;3;11;16;13;28;36;31;27;6;4;7;11;13;7;28;37;27;30;10;355;journans
01198;Joyeux;8;8;9;17;12;30;28;18;12;1;4;5;11;9;4;33;26;18;14;5;272;joyeux
01199;Jujurieux;43;39;77;141;73;186;234;123;128;50;38;29;68;92;60;194;218;135;141;112;2181;jujurieux
01200;Labalme;3;9;6;10;9;21;27;10;10;3;5;3;12;11;6;19;23;9;14;4;214;labalme
01202;Lagnieu;143;141;232;310;241;678;695;429;422;150;122;122;227;329;223;665;702;462;533;264;7090;lagnieu
01203;Laiz;22;28;38;65;38;95;139;86;67;14;26;15;44;55;40;101;146;89;81;24;1213;laiz
01204;Le Poizat-Lalleyriat;19;15;26;47;21;54;93;45;44;9;13;11;25;34;20;59;91;31;43;15;715;le poizat lalleyriat
01206;Lantenay;3;6;10;23;11;20;39;20;16;6;4;3;9;7;3;19;33;14;19;10;275;lantenay
01207;Lapeyrouse;8;7;12;22;13;30;44;18;17;4;4;5;12;11;6;32;40;23;11;3;322;lapeyrouse
01208;Lavours;0;5;2;2;1;11;15;8;14;3;2;2;6;4;1;11;7;9;15;11;129;lavours
01209;Léaz;14;29;40;36;9;84;85;33;27;12;24;14;24;25;13;92;80;26;35;16;718;leaz
01210;Lélex;5;2;4;7;6;21;28;18;15;6;4;4;3;11;5;24;25;17;11;13;229;lelex
01211;Lent;24;20;58;68;44;117;177;79;100;22;15;20;56;75;35;128;153;84;100;40;1415;lent
01212;Lescheroux;13;11;22;37;23;72;75;48;47;20;23;17;24;33;21;55;75;41;51;19;727;lescheroux
01213;Leyment;26;29;49;51;54;109;143;97;55;11;21;32;54;80;34;120;153;97;45;24;1284;leyment
01214;Leyssard;4;0;3;11;2;17;16;15;11;2;2;3;4;4;4;12;20;11;11;2;154;leyssard
01215;Surjoux-Lhopital;3;4;2;7;3;11;18;10;6;5;2;2;2;6;3;8;17;8;6;4;127;surjoux lhopital
01216;Lhuis;11;12;29;39;18;67;77;76;79;30;12;11;31;37;13;69;79;83;63;54;890;lhuis
01219;Lompnas;4;2;5;10;7;14;18;14;12;1;4;2;3;8;6;17;16;9;9;5;166;lompnas
01224;Loyettes;69;102;131;171;101;320;323;141;149;36;62;79;136;176;92;360;319;163;162;54;3146;loyettes
01225;Lurcy;6;8;9;21;11;29;44;36;27;7;5;3;9;21;7;25;45;28;31;7;379;lurcy
01227;Magnieu;9;9;21;39;10;56;77;50;39;12;14;11;29;34;10;51;70;37;39;21;638;magnieu
01228;Maillat;8;8;19;29;24;58;81;41;39;6;8;9;20;30;20;50;84;34;40;15;623;maillat
01229;Malafretaz;23;30;35;74;42;107;118;75;70;24;20;25;32;54;44;103;118;68;87;41;1190;malafretaz
01230;Mantenay-Montlin;3;2;9;14;10;19;39;23;32;5;7;4;12;22;5;23;32;17;24;10;312;mantenay montlin
01231;Manziat;30;27;74;98;52;160;222;130;151;43;34;29;65;86;51;151;207;140;171;54;1975;manziat
01232;Marboz;36;37;84;108;62;160;233;171;158;63;41;40;53;92;64;169;229;168;175;83;2226;marboz
01233;Marchamp;1;4;7;6;1;9;20;8;8;8;0;1;7;6;1;9;14;5;9;7;131;marchamp
01234;Marignieu;3;1;0;7;6;13;17;14;16;3;0;3;6;9;5;11;22;13;19;4;172;marignieu
01235;Marlieux;19;24;62;39;37;111;109;45;41;24;23;31;36;54;50;114;108;43;50;49;1069;marlieux
01236;Marsonnas;22;29;32;41;23;81;115;61;66;25;19;16;37;46;30;85;104;62;57;30;981;marsonnas
01237;Martignat;31;39;59;91;61;117;186;96;100;20;36;33;56;88;41;145;202;114;87;24;1626;martignat
01238;Massieux;39;51;89;146;83;167;333;142;165;21;43;52;89;141;83;184;335;161;158;41;2523;massieux
01239;Massignieu-de-Rives;9;14;18;16;22;49;68;36;59;8;12;14;22;25;19;41;68;38;59;14;611;massignieu de rives
01240;Matafelon-Granges;12;15;20;35;17;47;97;46;36;10;10;14;27;26;9;53;78;41;36;16;645;matafelon granges
01241;Meillonnas;19;19;44;49;45;116;155;107;94;16;19;31;37;52;27;106;149;106;104;39;1334;meillonnas
01242;Mérignat;4;2;5;9;5;13;13;8;10;0;0;3;4;8;2;13;11;8;6;2;126;merignat
01243;Messimy-sur-Saône;22;16;46;56;38;84;152;92;72;16;16;22;47;79;22;90;155;96;73;15;1209;messimy sur saone
01244;Meximieux;166;186;270;377;318;709;756;407;356;117;140;141;260;384;323;761;825;443;421;309;7669;meximieux
01245;Bohas-Meyriat-Rignat;17;12;38;43;23;85;101;44;72;13;24;17;37;39;16;84;82;61;61;25;894;bohas meyriat rignat
01246;Mézériat;44;44;65;97;75;198;196;143;143;45;40;36;93;102;66;199;190;139;157;62;2134;mezeriat
01247;Mijoux;5;8;11;28;5;35;46;28;17;4;3;4;9;8;4;33;40;25;19;5;337;mijoux
01248;Mionnay;29;42;60;124;113;140;292;156;103;18;20;35;65;118;98;147;309;131;104;27;2131;mionnay
01249;Miribel;239;214;338;472;347;916;1065;548;454;170;210;200;322;423;378;920;1082;544;536;365;9743;miribel
01250;Misérieux;29;43;53;101;109;147;198;123;110;22;28;35;68;111;132;156;217;134;89;33;1938;miserieux
01252;Mogneneins;14;18;32;34;18;57;93;68;34;24;14;22;30;37;16;65;82;57;37;24;776;mogneneins
01254;Montagnat;35;43;75;90;55;141;217;131;168;21;39;46;66;85;48;166;233;126;150;26;1961;montagnat
01255;Montagnieu;15;20;31;26;15;61;62;34;37;11;11;12;24;26;7;72;54;34;46;12;610;montagnieu
01257;Montanges;7;4;7;16;14;27;38;35;16;7;5;9;4;15;14;27;42;26;22;6;341;montanges
01258;Montceaux;20;28;48;68;43;86;145;98;65;9;20;22;40;54;30;97;145;92;55;17;1182;montceaux
01259;Montcet;10;17;26;42;23;53;91;39;27;14;18;15;20;42;24;57;86;33;27;10;674;montcet
01260;Le Montellier;3;8;12;14;6;25;44;13;20;2;7;5;11;16;6;28;30;17;22;2;291;le montellier
01261;Monthieux;15;14;25;31;25;49;69;57;41;10;14;13;19;20;19;49;79;53;26;17;645;monthieux
01262;Montluel;145;163;262;284;290;712;718;372;318;116;139;157;252;300;338;704;681;409;393;253;7006;montluel
01263;Montmerle-sur-Saône;54;80;151;225;100;297;444;229;231;75;49;55;132;203;83;299;452;222;261;168;3810;montmerle sur saone
01264;Montracol;25;22;34;60;24;91;132;55;56;20;19;21;53;55;30;108;116;54;48;29;1052;montracol
01265;Montréal-la-Cluse;44;72;146;162;138;320;362;215;191;58;57;68;108;182;103;302;364;212;216;89;3409;montreal la cluse
01266;Montrevel-en-Bresse;28;27;69;132;93;167;188;155;201;94;22;26;47;109;85;154;254;183;246;184;2464;montrevel en bresse
01267;Nurieux-Volognat;17;13;39;66;27;73;138;69;65;13;13;20;30;63;30;71;130;57;76;20;1030;nurieux volognat
01268;Murs-et-Gélignieux;6;2;8;17;7;23;31;15;18;6;3;9;6;9;4;17;26;18;18;10;253;murs et gelignieux
01269;Nantua;59;71;133;183;130;343;355;159;192;78;62;64;113;159;145;320;328;158;225;205;3482;nantua
01272;Neuville-les-Dames;21;31;52;61;47;138;138;98;93;37;30;28;45;73;42;136;136;102;111;90;1509;neuville les dames
01273;Neuville-sur-Ain;33;39;52;96;50;175;190;133;89;38;44;43;54;80;31;164;169;121;97;43;1741;neuville sur ain
01274;Les Neyrolles;14;12;29;33;24;58;74;29;36;12;11;13;19;40;17;61;66;38;37;13;636;les neyrolles
01275;Neyron;44;50;79;127;89;197;289;186;170;34;40;46;77;123;67;202;284;171;187;47;2509;neyron
