CODGEO;LIBGEO;SEXE1_AGEPYR1000;SEXE1_AGEPYR1003;SEXE1_AGEPYR1006;SEXE1_AGEPYR1011;SEXE1_AGEPYR1018;SEXE1_AGEPYR1025;SEXE1_AGEPYR1040;SEXE1_AGEPYR1055;SEXE1_AGEPYR1065;SEXE1_AGEPYR1080;SEXE2_AGEPYR1000;SEXE2_AGEPYR1003;SEXE2_AGEPYR1006;SEXE2_AGEPYR1011;SEXE2_AGEPYR1018;SEXE2_AGEPYR1025;SEXE2_AGEPYR1040;SEXE2_AGEPYR1055;SEXE2_AGEPYR1065;SEXE2_AGEPYR1080;population;LIBGEO2
94028;Créteil;2043;2004;3182;3941;4228;9316;8024;4636;3878;1041;1994;1812;3036;3808;4471;10573;8896;5593;4878;2039;89393;creteil
94033;Fontenay-sous-Bois;1135;1151;1867;2371;2215;4977;5740;2857;2467;815;970;1097;1668;2398;2203;5546;6159;3254;3062;1474;53426;fontenay sous bois
94034;Fresnes;584;616;883;1015;1671;3958;2900;1184;868;430;617;695;785;959;1071;3134;2499;1415;1280;853;27417;fresnes
94037;Gentilly;377;328;464;707;930;2130;1758;942;729;207;347;316;388;619;861;2212;1686;1081;844;515;17441;gentilly
94038;L'Haÿ-les-Roses;610;667;1164;1390;1283;2696;3201;1753;1534;676;576;616;1007;1251;1355;2984;3279;1834;2077;1238;31191;l'hay les roses
94041;Ivry-sur-Seine;1301;1191;1774;2410;3323;7646;5983;3101;2585;848;1255;1087;1656;2126;3016;7672;6012;3336;2923;1527;60772;ivry sur seine
94042;Joinville-le-Pont;400;369;512;744;703;2043;1952;1020;927;345;381;363;509;686;737;2115;2020;1152;1215;631;18824;joinville le pont
94043;Le Kremlin-Bicêtre;488;419;785;947;1493;2967;2520;1208;912;402;486;432;846;941;1329;3122;2692;1300;1320;684;25293;le kremlin bicetre
94044;Limeil-Brévannes;849;717;1079;1062;1118;3043;2426;1095;877;434;619;752;1085;1161;1053;3494;2574;1233;1121;911;26703;limeil brevannes
94046;Maisons-Alfort;1084;981;1423;2144;2654;6262;5141;2696;2554;1049;1061;867;1513;2001;2652;6749;5886;3219;3330;2025;55291;maisons alfort
94047;Mandres-les-Roses;77;80;155;234;194;337;546;324;261;70;56;84;155;252;186;365;566;351;227;184;4704;mandres les roses
94048;Marolles-en-Brie;59;86;162;283;187;310;496;376;334;44;61;93;152;281;209;340;571;430;327;55;4856;marolles en brie
94052;Nogent-sur-Marne;636;634;941;1182;1066;3283;3204;1526;1837;604;682;651;913;1127;1044;3823;3316;1968;2242;1270;31949;nogent sur marne
94053;Noiseau;73;78;156;241;179;344;535;307;260;65;66;62;145;257;176;383;559;328;323;143;4680;noiseau
94054;Orly;601;720;956;1087;934;2372;2195;1082;894;226;592;610;1034;1131;1052;2730;2238;1335;1038;552;23379;orly
94055;Ormesson-sur-Marne;136;190;314;508;419;672;1199;687;699;211;141;163;309;459;412;748;1192;739;758;329;10285;ormesson sur marne
94056;Périgny;47;69;102;149;118;237;314;144;125;23;41;46;98;138;106;246;343;139;140;37;2662;perigny
94058;Le Perreux-sur-Marne;626;707;906;1349;1189;3228;3629;1839;1689;630;652;592;1048;1417;1194;3573;3724;2234;2131;1371;33728;le perreux sur marne
94059;Le Plessis-Trévise;332;430;687;901;780;1896;2130;994;1079;308;556;451;691;872;794;2140;2346;969;1364;557;20277;le plessis trevise
94060;La Queue-en-Brie;245;276;479;688;482;1030;1398;572;515;90;266;294;448;613;467;1123;1496;631;583;136;11832;la queue en brie
94065;Rungis;91;88;178;253;224;474;613;393;271;70;90;105;148;260;253;501;696;458;293;151;5610;rungis
94067;Saint-Mandé;434;417;747;873;839;2307;2263;1151;1080;519;498;461;722;836;924;2614;2427;1280;1459;876;22727;saint mande
94068;Saint-Maur-des-Fossés;1228;1172;2061;3357;2872;6530;7613;4275;4256;1699;1090;1049;2054;3270;3311;7144;8250;4743;5286;3633;74893;saint maur des fosses
94069;Saint-Maurice;338;350;412;477;558;1565;1512;733;594;227;308;248;418;537;642;1667;1643;829;735;519;14312;saint maurice
94070;Santeny;41;60;110;207;146;241;423;245;257;79;48;56;115;193;130;277;441;226;278;136;3709;santeny
94071;Sucy-en-Brie;457;402;864;1190;1125;2104;2528;1715;1622;483;440;488;796;1194;1056;2334;2831;1788;1926;936;26279;sucy en brie
94073;Thiais;598;604;777;1296;1227;2850;2823;1840;1572;464;568;552;893;1157;1203;2997;3158;1925;1623;879;29006;thiais
94074;Valenton;475;476;628;677;829;1569;1232;716;512;163;409;392;593;650;767;1832;1396;767;568;204;14855;valenton
94075;Villecresnes;138;187;333;459;408;748;1032;655;571;161;129;174;334;449;396;796;1128;672;678;380;9828;villecresnes
94076;Villejuif;1175;1035;1748;2138;2982;6137;5402;2922;2392;872;1022;998;1654;2293;2747;6315;5644;3445;2908;1648;55477;villejuif
94077;Villeneuve-le-Roi;432;524;781;997;947;2007;2147;1076;1029;357;450;389;773;979;999;2086;2150;1221;1078;599;21021;villeneuve le roi
94078;Villeneuve-Saint-Georges;728;809;1236;1642;1791;3488;3318;1636;1206;293;826;818;1283;1492;1645;3823;3182;1704;1304;744;32968;villeneuve saint georges
94079;Villiers-sur-Marne;522;615;899;1408;1369;2923;2936;1759;1472;403;518;553;963;1322;1407;2962;3200;1758;1572;663;29224;villiers sur marne
94080;Vincennes;1032;956;1377;1736;1788;6114;4991;2388;2040;1007;879;837;1234;1676;1840;6907;5459;2702;2964;1924;49851;vincennes
94081;Vitry-sur-Seine;2223;2124;3367;4173;3893;9759;9424;5072;3968;1342;2146;2082;2969;4120;4340;10469;9399;5125;4670;2089;92754;vitry sur seine
95002;Ableiges;20;24;54;55;42;110;120;80;62;13;13;29;35;67;49;106;124;78;50;17;1148;ableiges
95008;Aincourt;16;12;30;43;26;98;113;68;49;12;17;20;37;39;21;91;103;67;50;19;931;aincourt
95011;Ambleville;6;7;10;27;15;25;57;32;18;6;7;11;2;12;12;29;41;26;22;13;378;ambleville
95012;Amenucourt;5;7;12;10;8;26;21;15;11;3;7;3;11;5;2;22;23;14;7;1;213;amenucourt
95014;Andilly;27;41;80;146;113;191;288;151;149;51;43;51;88;106;88;212;318;165;167;129;2604;andilly
95018;Argenteuil;3059;2860;4330;5154;5022;11514;10872;5503;4684;1311;3043;2706;3998;4871;4740;12969;10809;6063;4709;2251;110468;argenteuil
95019;Arnouville;353;291;481;748;618;1262;1388;847;609;235;335;331;586;686;732;1490;1341;877;703;440;14353;arnouville
95023;Arronville;13;11;22;27;27;52;88;60;28;4;16;6;16;35;24;62;80;58;29;9;667;arronville
95024;Arthies;5;8;7;14;13;24;31;17;11;4;6;8;10;19;11;32;26;21;10;7;284;arthies
95026;Asnières-sur-Oise;48;59;96;160;98;192;318;200;146;29;39;40;77;144;84;214;303;215;155;45;2662;asnieres sur oise
95028;Attainville;24;29;60;89;71;147;222;142;79;12;18;26;54;86;74;146;213;139;81;18;1730;attainville
95039;Auvers-sur-Oise;108;113;201;307;288;537;794;475;400;100;94;135;172;356;277;569;889;511;456;174;6956;auvers sur oise
95040;Avernes;12;12;32;43;23;60;99;72;50;10;12;13;27;50;24;71;108;66;57;19;860;avernes
95042;Baillet-en-France;33;37;60;99;90;166;229;128;118;31;39;30;56;92;83;168;242;135;129;36;2001;baillet en france
95046;Banthelu;2;3;13;9;6;15;22;5;6;1;3;5;5;5;2;17;19;8;4;3;153;banthelu
95051;Beauchamp;136;163;261;371;375;645;893;565;542;209;174;125;282;343;333;751;918;621;649;335;8691;beauchamp
95052;Beaumont-sur-Oise;202;211;336;477;386;979;940;509;427;137;199;194;316;414;409;1061;971;587;529;316;9600;beaumont sur oise
95054;Le Bellay-en-Vexin;3;0;12;16;10;17;33;15;9;2;2;9;6;16;11;26;33;12;11;2;245;le bellay en vexin
95055;Bellefontaine;15;11;11;12;14;46;47;28;30;16;6;13;14;16;9;35;45;31;33;50;482;bellefontaine
95056;Belloy-en-France;41;56;73;129;76;202;249;120;93;34;52;49;94;104;57;219;245;104;119;62;2178;belloy en france
95058;Bernes-sur-Oise;45;55;132;152;132;294;276;156;128;11;55;71;98;146;88;253;272;134;151;37;2686;bernes sur oise
95059;Berville;4;8;18;22;6;26;42;21;24;6;9;6;9;12;16;32;42;25;19;5;352;berville
95060;Bessancourt;130;149;243;340;290;673;736;440;340;110;104;116;246;342;272;685;770;478;400;200;7064;bessancourt
95061;Béthemont-la-Forêt;12;6;14;23;17;21;56;28;29;5;6;7;15;7;14;29;54;31;40;4;418;bethemont la foret
95063;Bezons;640;683;989;1431;1252;3138;2914;1352;1286;381;741;640;1096;1208;1217;3307;3060;1755;1261;626;28977;bezons
95074;Boisemont;9;8;24;33;35;57;99;55;50;5;10;12;20;36;37;49;102;61;42;10;754;boisemont
95078;Boissy-l'Aillerie;22;24;77;103;64;152;220;129;89;20;30;34;57;91;84;156;201;118;112;26;1809;boissy l'aillerie
95088;Bonneuil-en-France;33;38;35;37;36;160;95;41;43;5;57;18;29;32;38;158;84;50;41;4;1034;bonneuil en france
95091;Bouffémont;125;144;258;339;298;517;674;324;295;84;95;134;231;303;252;570;693;368;337;162;6203;bouffemont
95094;Bouqueval;4;3;10;14;12;34;34;14;16;4;6;7;7;16;11;32;34;17;25;9;309;bouqueval
95101;Bray-et-Lû;18;25;43;46;32;81;103;56;47;24;12;20;42;49;37;89;94;41;30;67;956;bray et lû
95102;Bréançon;5;9;16;17;9;27;38;40;24;4;4;7;6;15;13;35;41;30;30;8;378;breancon
95110;Brignancourt;3;5;5;11;4;17;20;19;18;5;4;4;9;5;6;15;19;17;13;3;202;brignancourt
95116;Bruyères-sur-Oise;99;116;208;247;177;409;465;239;129;32;80;123;207;255;170;476;445;242;145;39;4303;bruyeres sur oise
95119;Buhy;12;7;13;11;10;38;43;16;16;3;14;9;8;12;11;31;33;17;16;2;322;buhy
95120;Butry-sur-Oise;45;44;96;138;79;179;254;143;117;22;34;46;81;119;90;206;278;144;109;41;2265;butry sur oise
95127;Cergy;1811;1626;2337;2753;4463;8059;5148;2567;1969;315;1841;1688;2384;2738;4435;8638;5375;3142;1962;568;63819;cergy
95134;Champagne-sur-Oise;102;118;186;262;204;444;533;309;238;61;103;111;176;256;179;492;565;340;261;89;5029;champagne sur oise
95139;La Chapelle-en-Vexin;4;8;12;12;17;31;33;30;16;2;10;9;15;19;10;31;38;25;12;4;338;la chapelle en vexin
95141;Charmont;0;0;1;4;0;6;7;1;2;0;0;0;1;0;3;2;4;3;1;0;35;charmont
95142;Chars;41;59;81;113;92;244;225;122;69;37;57;45;70;100;69;237;205;117;93;66;2142;chars
95144;Châtenay-en-France;1;2;1;5;3;7;8;6;3;1;2;2;1;4;6;8;9;3;3;1;76;chatenay en france
95149;Chaumontel;36;55;114;167;144;236;391;258;198;51;37;66;121;147;94;217;450;233;214;55;3284;chaumontel
95150;Chaussy;12;15;25;34;23;44;81;39;31;8;8;9;18;36;18;50;74;35;20;11;591;chaussy
95151;Chauvry;3;5;5;15;10;24;33;26;19;2;3;7;12;16;12;27;39;16;21;4;299;chauvry
95154;Chennevières-lès-Louvres;2;6;13;22;15;20;47;13;12;0;4;5;11;22;16;29;36;16;12;4;305;chennevieres les louvres
95157;Chérence;0;0;4;8;1;8;17;15;20;5;0;0;1;6;5;5;12;20;18;5;150;cherence
95166;Cléry-en-Vexin;10;11;17;18;16;48;53;32;14;4;10;11;15;19;24;43;56;35;14;5;455;clery en vexin
95169;Commeny;11;11;17;21;10;51;43;25;32;3;13;13;21;22;18;44;51;30;26;3;465;commeny
95170;Condécourt;11;16;15;32;16;53;63;40;36;11;5;17;14;27;9;51;58;37;43;11;565;condecourt
95176;Cormeilles-en-Parisis;489;556;883;1099;1022;2278;2603;1334;1112;362;416;472;872;1043;952;2546;2539;1396;1202;748;23924;cormeilles en parisis
95177;Cormeilles-en-Vexin;30;42;62;71;39;139;141;66;61;17;35;35;68;73;48;148;145;74;62;24;1380;cormeilles en vexin
95181;Courcelles-sur-Viosne;2;5;9;11;11;22;35;24;10;4;8;4;15;12;4;22;32;28;9;5;272;courcelles sur viosne
95183;Courdimanche;133;154;279;400;291;647;744;408;216;31;137;132;260;354;288;714;813;424;230;58;6713;courdimanche
95197;Deuil-la-Barre;457;414;764;973;943;2259;2079;1307;943;309;460;490;741;957;863;2605;2429;1464;1150;715;22322;deuil la barre
95199;Domont;300;326;543;726;637;1452;1496;893;738;239;337;268;521;599;681;1533;1667;1032;891;523;15402;domont
95203;Eaubonne;553;630;872;1161;1043;2222;2388;1321;1140;525;451;546;852;1017;886;2670;2694;1506;1489;1197;25163;eaubonne
95205;Écouen;142;162;253;357;319;669;756;435;305;82;117;143;238;327;330;754;840;481;333;145;7188;ecouen
95210;Enghien-les-Bains;239;221;286;424;402;1000;1074;681;651;293;178;187;330;409;463;1215;1130;734;865;574;11356;enghien les bains
95211;Ennery;41;41;84;112;67;196;214;148;142;65;34;42;100;102;66;215;230;165;182;180;2426;ennery
95212;Épiais-lès-Louvres;5;1;7;6;4;15;11;5;7;1;0;2;1;4;1;20;8;4;4;2;108;epiais les louvres
95213;Épiais-Rhus;12;9;25;32;12;35;77;49;54;10;5;9;21;33;15;41;75;57;45;8;624;epiais rhus
95214;Épinay-Champlâtreux;0;1;5;1;4;5;4;4;6;1;2;0;2;2;3;6;7;4;6;2;65;epinay champlatreux
95218;Éragny;403;383;784;794;707;1766;1662;849;638;152;475;386;661;788;610;2006;1749;1014;832;321;16980;eragny
95219;Ermont;650;669;899;1176;1112;3020;2712;1648;1471;507;609;572;994;1308;1133;3220;3024;1722;1642;1025;29113;ermont
95229;Ézanville;235;220;338;469;385;939;906;559;418;132;241;201;350;388;379;1088;1035;622;533;326;9764;ezanville
95241;Fontenay-en-Parisis;36;45;83;87;74;182;192;136;74;31;36;37;66;98;73;161;223;131;100;98;1963;fontenay en parisis
95250;Fosses;186;235;422;541;413;846;1009;520;416;129;182;212;357;514;364;948;1063;546;542;178;9623;fosses
95252;Franconville;905;892;1404;1489;1366;4202;3266;1886;1511;465;784;762;1127;1425;1455;4485;3595;2141;1861;1091;36112;franconville
95253;Frémainville;8;5;14;28;25;38;52;48;25;8;8;6;14;17;21;35;63;32;30;13;490;fremainville
95254;Frémécourt;6;9;27;30;26;44;70;44;19;2;17;8;18;24;22;48;80;44;16;7;561;fremecourt
95256;Frépillon;60;92;157;175;144;292;384;196;144;35;67;82;141;150;137;303;380;173;166;55;3333;frepillon
95257;La Frette-sur-Seine;98;98;164;212;166;395;504;318;264;81;55;100;165;194;165;427;524;312;303;123;4668;la frette sur seine
95258;Frouville;3;3;9;20;14;18;47;35;19;8;7;3;10;23;10;22;51;35;15;10;362;frouville
95268;Garges-lès-Gonesse;1186;1240;1734;2384;2173;4714;4038;2011;1509;383;1044;1163;1829;2279;2010;4542;4065;2152;1532;611;42599;garges les gonesse
95270;Genainville;12;4;26;27;14;35;65;48;31;7;3;4;18;23;20;39;69;45;41;13;544;genainville
95271;Génicourt;10;11;19;27;16;54;52;51;32;6;3;6;9;19;21;46;50;59;24;9;524;genicourt
95277;Gonesse;626;588;1020;1377;1290;2599;2444;1311;1023;353;645;558;1062;1427;1336;2880;2658;1366;1154;618;26335;gonesse
95280;Goussainville;653;747;1289;1875;1575;2834;3174;1649;1221;248;696;750;1238;1770;1633;3161;3096;1638;1206;495;30948;goussainville
95282;Gouzangrez;1;2;4;14;6;8;20;25;7;0;0;7;4;5;7;7;23;19;5;4;168;gouzangrez
95287;Grisy-les-Plâtres;12;12;19;30;28;57;100;64;35;4;8;11;19;38;19;54;85;57;34;9;695;grisy les platres
